4.908656,6.789013,7.611799,7.995190,8.151782,8.151782,7.995190,7.611799,6.789013,4.908656
2.845609,4.635598,5.662992,6.217179,6.460155,6.460155,6.217179,5.662992,4.635598,2.845609
1.838183,3.244777,4.187391,4.750380,5.011505,5.011505,4.750380,4.187391,3.244777,1.838183
1.262348,2.317934,3.091417,3.585443,3.823981,3.823981,3.585443,3.091417,2.317934,1.262348
0.893273,1.673195,2.274901,2.675994,2.874994,2.874994,2.675994,2.274901,1.673195,0.893273
0.637547,1.206673,1.658998,1.968639,2.125006,2.125006,1.968639,1.658998,1.206673,0.637547
0.450244,0.856951,1.185779,1.414557,1.531386,1.531386,1.414557,1.185779,0.856951,0.450244
0.306478,0.585110,0.812609,0.972424,1.054596,1.054596,0.972424,0.812609,0.585110,0.306478
0.190556,0.364402,0.507122,0.607935,0.659976,0.659976,0.607935,0.507122,0.364402,0.190556
0.091344,0.174822,0.243541,0.292218,0.317398,0.317398,0.292218,0.243541,0.174822,0.091344
